source_id,publisher,period,geography,metric,value,unit,evidence_class,limitation
iamai_kantar_2024,IAMAI and Kantar,2024,India,non_active_internet_users,41,percent,observed,Population-level internet access proxy rather than government-portal abandonment
iamai_kantar_2024,IAMAI and Kantar,2024,Rural India,non_active_internet_users,51,percent,observed,Population-level internet access proxy rather than government-portal abandonment
iamai_kantar_2024,IAMAI and Kantar,2024,India,barrier_too_difficult_to_understand_and_use,20,percent,observed,Reported among non-active internet users
iamai_kantar_2024,IAMAI and Kantar,2024,India,barrier_internet_confusing,16,percent,observed,Reported among non-active internet users
iamai_kantar_2024,IAMAI and Kantar,2024,India,barrier_unaware_of_internet_benefits,25,percent,observed,Reported among non-active internet users
iamai_kantar_2024,IAMAI and Kantar,2024,India,shared_device_users,20,percent,observed,Internet-use context; not specific to government services
iamai_kantar_2024,IAMAI and Kantar,2024,Rural India,shared_device_users,24,percent,observed,Internet-use context; not specific to government services
iamai_kantar_2024,IAMAI and Kantar,2024,Urban India,preferred_indic_language_content,57,percent,observed,Language preference for internet content generally
iamai_kantar_2024,IAMAI and Kantar,2024,India,indic_language_users,870,million,observed,Users who accessed content in Indic languages
iamai_kantar_2024,IAMAI and Kantar,2024,India,voice_users,140,million,observed,Voice-based internet activity generally
nesda_2021,DARPG and NeSDA,2021,India,satisfied_end_service_without_manual_visit,74,percent,observed,Survey satisfaction measure; not a completion rate
nesda_2021,DARPG and NeSDA,2021,India,satisfied_tracking_eservice_or_grievance,74,percent,observed,Survey satisfaction measure
nesda_2021,DARPG and NeSDA,2021,India,satisfied_user_feedback_facility,70,percent,observed,Survey satisfaction measure
nesda_2021,DARPG and NeSDA,2021,India,neutral_user_feedback_facility,21,percent,observed,Survey response category
nesda_2021,DARPG and NeSDA,2021,India,dissatisfied_user_feedback_facility,9,percent,observed,Survey response category
cpgrams_nov_2024,DARPG,2024-01_to_2024-11,Central Ministries,feedbacks_collected_by_call_centre,517338,count,observed,Feedback call-centre records; not all grievance users
cpgrams_nov_2024,DARPG,2024-01_to_2024-11,Central Ministries,monthly_satisfaction_low,44,percent,observed,Lowest monthly satisfaction in the report
cpgrams_nov_2024,DARPG,2024-01_to_2024-11,Central Ministries,monthly_satisfaction_high,63,percent,observed,Highest monthly satisfaction in the report
cpgrams_annual_2024,DARPG,2024,Central Ministries,feedback_call_satisfaction,52,percent,observed,Annual figure reported in DoPT annual-report summary
csc_2026,MeitY and PIB,2025-26,India,functional_common_service_centres,501731,count,observed,Government-reported infrastructure figure
csc_2026,MeitY and PIB,2025-26,India,csc_transactions,485403000,count,observed,Government-reported transaction figure
csc_impact,Government-reported assessment,2026,India,beneficiaries_obtained_required_service,98,percent,observed,Assessment cited in a government release; general CSC result
csc_impact,Government-reported assessment,2026,India,beneficiaries_satisfied,95,percent,observed,Assessment cited in a government release; general CSC result
